"","family","genus","species","taxonomic.rank","taxon","LME","FAO","habitat","reference.habitat","feeding.mode","reference.feeding.mode","tl","level.tl","reference.tl","body.shape","fin.shape","AR","level.AR","reference.AR","offspring.size","level.offspring.size","reference.offspring.size","spawning.type","reference.spawning.type","age.maturity","level.age.maturity","reference.age.maturity","fecundity","level.fecundity","reference.fecundity","length.infinity","growth.coefficient","level.growth","reference.growth","length.max","level.length.max","reference.length.max","age.max","level.age.max","reference.age.max"
"4667","Scophthalmidae","Scophthalmus","rhombus","S","Scophthalmus rhombus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.42,"spe","FroesePauly2018","flat","rounded",1.45,"spe","FroesePauly2018",1.3,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3,"spe","Heessen2016",10000000,"gen-ocean","FroesePauly2018",44,0.42,"spe-ocean","FroesePauly2018",46,"spe-LME","FroesePauly2018",5.7,"spe-LME","FroesePauly2018"
"4668","Scophthalmidae","Scophthalmus","rhombus","S","Scophthalmus rhombus",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.42,"spe","FroesePauly2018","flat","rounded",1.45,"spe","FroesePauly2018",1.3,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3,"spe","Heessen2016",10000000,"gen-ocean","FroesePauly2018",44,0.42,"spe-ocean","FroesePauly2018",46,"spe-FAO","FroesePauly2018",5.7,"spe-FAO","FroesePauly2018"
"4669","Scophthalmidae","Scophthalmus","rhombus","S","Scophthalmus rhombus",26,37,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.42,"spe","FroesePauly2018","flat","rounded",1.45,"spe","FroesePauly2018",1.3,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3,"spe","Heessen2016",10000000,"gen-ocean","FroesePauly2018",42,0.42,"spe-FAO","FroesePauly2018",46,"spe-LME","FroesePauly2018",5.7,"spe-FAO","FroesePauly2018"
"4724","Scyliorhinidae","Scyliorhinus","canicula","S","Scyliorhinus canicula",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","elongated","heterocercal",0.83,"spe","FroesePauly2018",80,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",88,0.2,"spe-LME","FroesePauly2018",70,"spe-LME","FroesePauly2018",12,"spe-LME","FroesePauly2018"
"4725","Scyliorhinidae","Scyliorhinus","canicula","S","Scyliorhinus canicula",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","elongated","heterocercal",0.83,"spe","FroesePauly2018",80,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",81,0.13,"spe-LME","FroesePauly2018",70,"spe-LME","FroesePauly2018",12,"spe-LME","FroesePauly2018"
"4726","Scyliorhinidae","Scyliorhinus","canicula","S","Scyliorhinus canicula",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","elongated","heterocercal",0.83,"spe","FroesePauly2018",80,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",84,0.15,"spe-FAO","FroesePauly2018",65,"spe-LME","FroesePauly2018",12,"spe","FroesePauly2018"
"4727","Scyliorhinidae","Scyliorhinus","canicula","S","Scyliorhinus canicula",26,37,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","elongated","heterocercal",0.83,"spe","FroesePauly2018",80,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",84,0.15,"spe-ocean","FroesePauly2018",65,"spe-LME","FroesePauly2018",12,"spe","FroesePauly2018"
"5153","Soleidae","Buglossidium","luteum","S","Buglossidium luteum",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.31,"spe","FroesePauly2018","flat","rounded",0.91,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",13400,"spe","Pecuchet2017",11,0.57,"spe-FAO","FroesePauly2018",14,"spe-LME","FroesePauly2018",13,"spe-LME","FroesePauly2018"
"5154","Soleidae","Buglossidium","luteum","S","Buglossidium luteum",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.31,"spe","FroesePauly2018","flat","rounded",0.91,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",13400,"spe","Pecuchet2017",11,0.57,"spe-FAO","FroesePauly2018",14,"spe-FAO","FroesePauly2018",13,"spe-FAO","FroesePauly2018"
"5155","Soleidae","Buglossidium","luteum","S","Buglossidium luteum",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.31,"spe","FroesePauly2018","flat","rounded",0.91,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",13400,"spe","Pecuchet2017",11,0.57,"spe-LME","FroesePauly2018",14,"spe-LME","FroesePauly2018",13,"spe-LME","FroesePauly2018"
"5156","Soleidae","Buglossidium","luteum","S","Buglossidium luteum",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.31,"spe","FroesePauly2018","flat","rounded",0.91,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",13400,"spe","Pecuchet2017",11,0.57,"spe-FAO","FroesePauly2018",14,"spe-FAO","FroesePauly2018",13,"spe-FAO","FroesePauly2018"
"5162","Soleidae","Microchirus","variegatus","S","Microchirus variegatus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.28,"spe","FroesePauly2018","flat","rounded",1.21,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",500000,"spe","Pecuchet2017",19,0.38,"spe-FAO","FroesePauly2018",25,"spe-LME","FroesePauly2018",14,"spe-LME","FroesePauly2018"
"5163","Soleidae","Microchirus","variegatus","S","Microchirus variegatus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.28,"spe","FroesePauly2018","flat","rounded",1.21,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",500000,"spe","Pecuchet2017",19,0.38,"spe-LME","FroesePauly2018",25,"spe-LME","FroesePauly2018",14,"spe-LME","FroesePauly2018"
"5164","Soleidae","Microchirus","variegatus","S","Microchirus variegatus",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.28,"spe","FroesePauly2018","flat","rounded",1.21,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",500000,"spe","Pecuchet2017",19,0.38,"spe-FAO","FroesePauly2018",21,"spe-LME","FroesePauly2018",14,"spe","FroesePauly2018"
"5167","Soleidae","Pegusa","lascaris","S","Pegusa lascaris",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.29,"spe","FroesePauly2018","flat","rounded",0.94,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",500000,"spe","Pecuchet2017",27,0.41,"spe-FAO","FroesePauly2018",35,"spe-LME","FroesePauly2018",15,"spe-LME","FroesePauly2018"
"5168","Soleidae","Pegusa","lascaris","S","Pegusa lascaris",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.29,"spe","FroesePauly2018","flat","rounded",0.94,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",500000,"spe","Pecuchet2017",27,0.41,"spe-LME","FroesePauly2018",35,"spe-LME","FroesePauly2018",15,"spe-LME","FroesePauly2018"
"5169","Soleidae","Pegusa","lascaris","S","Pegusa lascaris",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.29,"spe","FroesePauly2018","flat","rounded",0.94,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",500000,"spe","Pecuchet2017",27,0.41,"spe-FAO","FroesePauly2018",35,"spe-FAO","FroesePauly2018",15,"spe-FAO","FroesePauly2018"
"5172","Soleidae","Solea","solea","S","Solea solea",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.21,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",1.28,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.9,"spe-ocean","FroesePauly2019",300000,"spe","Pecuchet2017",36,0.31,"spe-LME","FroesePauly2018",60,"spe-LME","FroesePauly2018",26.4,"spe-LME","FroesePauly2018"
"5173","Soleidae","Solea","solea","S","Solea solea",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.21,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",1.28,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.9,"spe-ocean","FroesePauly2019",300000,"spe","Pecuchet2017",37,0.31,"spe-FAO","FroesePauly2018",60,"spe-FAO","FroesePauly2018",26.4,"spe-LME","FroesePauly2018"
"5174","Soleidae","Solea","solea","S","Solea solea",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.21,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",1.28,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.9,"spe-ocean","FroesePauly2019",300000,"spe","Pecuchet2017",47,0.26,"spe-LME","FroesePauly2018",60,"spe-LME","FroesePauly2018",26.4,"spe-LME","FroesePauly2018"
"5175","Soleidae","Solea","solea","S","Solea solea",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.21,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",1.28,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.9,"spe-ocean","FroesePauly2019",300000,"spe","Pecuchet2017",55,0.47,"spe-LME","FroesePauly2018",60,"spe-FAO","FroesePauly2018",26.4,"spe-FAO","FroesePauly2018"
"5176","Soleidae","Solea","solea","S","Solea solea",26,37,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.21,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",1.28,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.9,"spe-ocean","FroesePauly2019",300000,"spe","Pecuchet2017",39,0.24,"spe-FAO","FroesePauly2018",70,"spe-LME","FroesePauly2018",26.4,"spe","FroesePauly2018"
"5265","Sparidae","Spondyliosoma","cantharus","S","Spondyliosoma cantharus",22,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.34,"spe","FroesePauly2018","compressiform","forked",1.94,"spe","FroesePauly2018",1.09,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe-ocean","FroesePauly2019",90413,"spe-ocean","FroesePauly2018",56,0.3,"spe-FAO","FroesePauly2018",40,"spe-ocean","FroesePauly2018",14,"spe","FroesePauly2018"
"5266","Sparidae","Spondyliosoma","cantharus","S","Spondyliosoma cantharus",24,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.34,"spe","FroesePauly2018","compressiform","forked",1.94,"spe","FroesePauly2018",1.09,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe-ocean","FroesePauly2019",90413,"spe-ocean","FroesePauly2018",56,0.3,"spe-FAO","FroesePauly2018",40,"spe-ocean","FroesePauly2018",14,"spe","FroesePauly2018"
"5267","Sparidae","Spondyliosoma","cantharus","S","Spondyliosoma cantharus",25,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.34,"spe","FroesePauly2018","compressiform","forked",1.94,"spe","FroesePauly2018",1.09,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe-ocean","FroesePauly2019",90413,"spe-ocean","FroesePauly2018",56,0.3,"spe-FAO","FroesePauly2018",40,"spe-ocean","FroesePauly2018",14,"spe","FroesePauly2018"
"5645","Syngnathidae","Syngnathus","","G","Syngnathus",5,31,"demersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.48,"genus","FroesePauly2018","eel-like","rounded",0.87,"fam","FroesePauly2018",1.41,"gen","FroesePauly2018","bearer","inferred from genus",1.5,"gen","Heessen2016",201,"gen-ocean","FroesePauly2018",23,0.63,"gen-ocean","FroesePauly2018",39,"gen-LME","FroesePauly2018",3,"gen","FroesePauly2018"
"5646","Syngnathidae","Syngnathus","","G","Syngnathus",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.48,"genus","FroesePauly2018","eel-like","rounded",0.87,"fam","FroesePauly2018",1.41,"gen","FroesePauly2018","bearer","inferred from genus",1.5,"gen","Heessen2016",201,"gen-ocean","FroesePauly2018",23,0.63,"gen-ocean","FroesePauly2018",39,"gen-LME","FroesePauly2018",3,"gen","FroesePauly2018"
"5647","Syngnathidae","Syngnathus","","G","Syngnathus",20,27,"demersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.48,"genus","FroesePauly2018","eel-like","rounded",0.87,"fam","FroesePauly2018",1.41,"gen","FroesePauly2018","bearer","inferred from genus",1.5,"gen","Heessen2016",201,"gen-ocean","FroesePauly2018",23,0.63,"gen-FAO","FroesePauly2018",19,"gen-FAO","FroesePauly2018",3,"gen","FroesePauly2018"
"5648","Syngnathidae","Syngnathus","","G","Syngnathus",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.48,"genus","FroesePauly2018","eel-like","rounded",0.87,"fam","FroesePauly2018",1.41,"gen","FroesePauly2018","bearer","inferred from genus",1.5,"gen","Heessen2016",201,"gen-ocean","FroesePauly2018",23,0.63,"gen-FAO","FroesePauly2018",19,"gen-LME","FroesePauly2018",3,"gen","FroesePauly2018"
"5649","Syngnathidae","Syngnathus","","G","Syngnathus",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.48,"genus","FroesePauly2018","eel-like","rounded",0.87,"fam","FroesePauly2018",1.41,"gen","FroesePauly2018","bearer","inferred from genus",1.5,"gen","Heessen2016",201,"gen-ocean","FroesePauly2018",23,0.63,"gen-FAO","FroesePauly2018",19,"gen-FAO","FroesePauly2018",3,"gen","FroesePauly2018"
"5751","Trachinidae","Echiichthys","vipera","S","Echiichthys vipera",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.41,"family","FroesePauly2018","elongated","truncate",1.58,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"fam","Ak2014",160000,"gen","Heessen2015",15,0.33,"spe","Heessen2015",15,"spe","FroesePauly2018",14,"spe","Heessen2015"
"5752","Trachinidae","Echiichthys","vipera","S","Echiichthys vipera",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.41,"family","FroesePauly2018","elongated","truncate",1.58,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"fam","Ak2014",160000,"gen","Heessen2015",15,0.33,"spe","Heessen2015",15,"spe","FroesePauly2018",14,"spe","Heessen2015"
"5753","Trachinidae","Echiichthys","vipera","S","Echiichthys vipera",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.41,"family","FroesePauly2018","elongated","truncate",1.58,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"fam","Ak2014",160000,"gen","Heessen2015",15,0.33,"spe","Heessen2015",15,"spe","FroesePauly2018",14,"spe","Heessen2015"
"5776","Triakidae","Mustelus","asterias","S","Mustelus asterias",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.68,"genus","FroesePauly2018","elongated","heterocercal",0.86,"spe","FroesePauly2018",300,"spe","Pecuchet2017","bearer","FroesePauly2018",5,"spe","FroesePauly2019",11,"spe-ocean","FroesePauly2018",114,0.17,"spe-FAO","FroesePauly2018",140,"spe","FroesePauly2018",11.9,"gen","FroesePauly2018"
"5777","Triakidae","Mustelus","asterias","S","Mustelus asterias",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.68,"genus","FroesePauly2018","elongated","heterocercal",0.86,"spe","FroesePauly2018",300,"spe","Pecuchet2017","bearer","FroesePauly2018",5,"spe","FroesePauly2019",11,"spe-ocean","FroesePauly2018",114,0.17,"spe-FAO","FroesePauly2018",140,"spe","FroesePauly2018",11.9,"gen","FroesePauly2018"
"5855","Triglidae","Chelidonichthys","lucerna","S","Chelidonichthys lucerna",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","truncate",0.5,"spe","FroesePauly2018",1.36,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.5,"spe","Heessen2016",100000,"spe","Pecuchet2017",48,0.33,"spe-FAO","FroesePauly2018",56,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"5856","Triglidae","Chelidonichthys","lucerna","S","Chelidonichthys lucerna",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","truncate",0.5,"spe","FroesePauly2018",1.36,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.5,"spe","Heessen2016",100000,"spe","Pecuchet2017",48,0.33,"spe-FAO","FroesePauly2018",56,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"5857","Triglidae","Chelidonichthys","lucerna","S","Chelidonichthys lucerna",23,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","truncate",0.5,"spe","FroesePauly2018",1.36,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.5,"spe","Heessen2016",100000,"spe","Pecuchet2017",48,0.33,"spe-FAO","FroesePauly2018",56,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"5858","Triglidae","Chelidonichthys","lucerna","S","Chelidonichthys lucerna",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","truncate",0.5,"spe","FroesePauly2018",1.36,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.5,"spe","Heessen2016",100000,"spe","Pecuchet2017",48,0.33,"spe-LME","FroesePauly2018",56,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"5859","Triglidae","Chelidonichthys","lucerna","S","Chelidonichthys lucerna",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","truncate",0.5,"spe","FroesePauly2018",1.36,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.5,"spe","Heessen2016",100000,"spe","Pecuchet2017",48,0.33,"spe-FAO","FroesePauly2018",56,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"5860","Triglidae","Chelidonichthys","lucerna","S","Chelidonichthys lucerna",26,37,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","truncate",0.5,"spe","FroesePauly2018",1.36,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.5,"spe","Heessen2016",100000,"spe","Pecuchet2017",50,0.21,"spe-FAO","FroesePauly2018",60,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"5864","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",18,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",41,0.27,"spe-ocean","FroesePauly2018",36,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"5865","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",19,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-FAO","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5866","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",20,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-LME","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5867","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-LME","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5868","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-LME","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5869","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",23,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-FAO","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5870","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-FAO","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5871","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-FAO","FroesePauly2018",36,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018"
"5872","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",26,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-FAO","FroesePauly2018",36,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018"
"5873","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",26,37,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",41,0.27,"spe-ocean","FroesePauly2018",36,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018"
"5874","Triglidae","Eutrigla","gurnardus","S","Eutrigla gurnardus",59,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.87,"spe","FroesePauly2018","elongated","truncate",1.59,"spe","FroesePauly2018",1.35,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.8,"spe","FroesePauly2019",244949,"spe","Pecuchet2017",46,0.16,"spe-FAO","FroesePauly2018",36,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018"
"5965","Zeidae","Zeus","faber","S","Zeus faber",21,27,"benthopelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","compressiform","truncate",1.68,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",30000,"spe","Pecuchet2017",69,0.15,"spe-FAO","FroesePauly2018",60,"spe-FAO","FroesePauly2018",18,"spe","FroesePauly2018"
"5966","Zeidae","Zeus","faber","S","Zeus faber",22,27,"benthopelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","compressiform","truncate",1.68,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",30000,"spe","Pecuchet2017",69,0.15,"spe-FAO","FroesePauly2018",60,"spe-FAO","FroesePauly2018",18,"spe","FroesePauly2018"
"5967","Zeidae","Zeus","faber","S","Zeus faber",24,27,"benthopelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","compressiform","truncate",1.68,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",30000,"spe","Pecuchet2017",69,0.15,"spe-LME","FroesePauly2018",59,"spe-LME","FroesePauly2018",18,"spe","FroesePauly2018"
"5968","Zeidae","Zeus","faber","S","Zeus faber",25,27,"benthopelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","compressiform","truncate",1.68,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",30000,"spe","Pecuchet2017",69,0.15,"spe-FAO","FroesePauly2018",60,"spe-LME","FroesePauly2018",18,"spe","FroesePauly2018"
"5969","Zeidae","Zeus","faber","S","Zeus faber",26,37,"benthopelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","compressiform","truncate",1.68,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",4,"spe","FroesePauly2019",30000,"spe","Pecuchet2017",69,0.3,"spe-FAO","FroesePauly2018",60,"spe-LME","FroesePauly2018",18,"spe","FroesePauly2018"
